title,price,description,acreage,bathroom,bedroom,address,time
cho thuê căn hộ 50m2 quận sơn trà,5000000,"#CHO THUÊ CĂN HỘ: TRẦN QUANG KHẢI, P. An Hải Bắc, Q. Sơn Trà, Đà Nẵng
-----------------------------
#Diện tích: 50m2 (Ngang 5m)
#Gồm: 1 PN, 1 WC, ban công
#Full nội thất, mới
#Đường: 10.5m – Lề 5m
#Gía cho thuê: 5 triệu/tháng",50,1,1,"Đường Trần Quang Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ mini hà huy tập,2800000,"🕍 the Green house thông báo cho thuê những phòng như sau :
📌 căn hộ rộng 25m2 có gác lửng điều hoà, nóng lạnh, đầy đủ nội thất
💵 Giá thuê : 2tr8/tháng.
📌 Có chỗ phơi đồ riêng ( có máy giặt )
📌 Hệ thống camera giám sát
📌 Nhà để xe rộng rãi, an toàn.
📌 Giờ giấc tự do.
📌 Phòng đẹp nhìn thix ngay
📌 Địa chỉ 296 hà huy tập
📌 phòng sạch đẹp dọn vào được ngay
📌 ưu tiên người đi làm hoặc nữ sinh viên
📲 Lh đặt phòng :",25,1,7,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",2020-02-18
Căn hộ full nội thất giá sốc quận Ngũ Hành Sơn,3000000,"Dự án: Carmen.
Thông tin chi tiết: Hệ thống Carmen Apartment siêu rẻ- đầy đủ tiện nghi- dịch vụ chu đáo quận Ngũ Hành Sơn

❌Cách biển 10'

❌ View sông, gần cầu Tuyên Sơn

❌Gần siêu thị, chợ

🎯Địa chỉ : Nước Mặn 5, quận Ngũ Hành Sơn

👉Nội thất đầy đủ (giường; tủ; bàn làm việc; máy lạnh; máy nước nóng, điều hòa, chén bát các kiểu) chỉ cần vào ở.

👉Không gian xanh quanh nhà, thoáng mát, hàng xóm văn minh, yên tĩnh

👉FREE : Wifi, vệ sinh phòng, thay chăn ga 3l/tuan .

👉 Dịch vụ giặt sấy

👉Hầm xe rộng, đảm bảo, có chỗ đỗ ô tô

👉Tự do giờ giấc

👉Hệ thống camera khắp nhà, an ninh tuyệt đối

👉 Hệ thống báo cháy đảm bảo

💲 Giá: giá từ 3 triệu",18,None,1,"69, Đường Nước Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",2020-02-18
Căn hộ Dương Khuê gần Đại học Kinh Tế,4500000,"Cho thuê căn hộ đường Nguyễn Thiếp gần cầu Trần Thị Lý, đường Ngô Quyền, Nguyễn Văn Thoại, Quận Sơn Trà

✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️

Diện tích: 25m2 giá thuê 4,5 Triệu/tháng

Diện tích: 28m2 giá thuê 5,5 Triệu/tháng

Diện tích: 35m2 giá thuê 6,5 Triệu/tháng, 2 giường ngủ có ban công

👉 Giờ giấc tự do, không chung chủ.

👉 Chỗ để xe rộng, tầng trệt bên trong căn hộ

👉 Có thể chuyển đến ở ngay

👉 Camera giám sát 24/24

👉 Căn hộ có ban công, cửa sổ thoáng mát",25,1,1,"Đường Dương Khuê, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2020-02-18
Căn hộ full nội thất có ban công ngay Phạm V Đồng,5000000,"🎉#CănHộ xinh xắn dễ thương ngay biển #PhạmVănĐồng, khu phố Hàn,...
* Đường Lê Minh Trung
* Giá siêu mềm chỉ #5triệu/tháng
* #Cóbancông, #viewbiển
* Rộng 30m2, căn hộ mới full nội thất y hình
(máy giặc riêng)
Ngoài ra còn những căn rộng hơn giá từ 6-8 triệu/tháng
Khách nào chưa tìm được tổ ấm thì cưới ngay em này đi ạ
Nhỏ nhỏ xinh xinh ấm cúng giá siêu mềm
LH em xem phòng ngay nhé O776.242.66",30,1,1,"Đường Lê Minh Trung, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",2020-02-18
Cho thuê phòng căn hộ đẹp giá rẻ bất ngờ chỉ từ 3t,3000000,"Cho thuê phòng căn hộ đẹp giá rẻ bất ngờ chỉ từ 3tr/ tháng.

Vị trí: Đường Đỗ Quang, bờ hồ Hàm Nghi, Thanh KHê , Đà Nẵng

Diện tích: 20 đến 30m2.

Giá thuê: 3 đến 4 triệu/tháng. Cọc 1 tháng thanh toán 1 tháng.

– Cách trường Đh Duy Tân 300m.

– Cách chợ Cồn, Big C 500m.

– Cách bệnh viện Hoàn Mỹ 300m.

– Cách cầu rồng 1km.

– căn hộ mới an ninh, có camera tại các khu vực chung!!

– Diện tích: 20 đến 30m2.

– Phòng có vệ sinh khép kín.

– Chỗ để xe rộng rãi.

– Có bang công. Có sân phơi.

– Nội thất: Điều hòa, nóng lạnh, wiffi tốc độ cao, giường, tủ đồ, tủ lạnh, máy giặt.

– Điện 3k chữ, nước 70k/ người free wiffi.

– Giờ giấc tự do không chung chủ.

Liên hệ : anh Ngô không bảy bảy bốn bốn bảy hai bảy bốn ba",30,None,1,"Đường Đỗ Quang, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",2020-02-18
Căn hộ gần Vincom và Phạm Văn Đồng 35m² 1 PN,5000000,"Dự án: gần Vincom và Phạm Văn Đồng
Thông tin chi tiết: Cho thuê nhanh! Đậu oto vô tư.
Căn hộ đường Huy Du. Sơn trà. Gần vincom. Biển phạm văn đồng.
Căn hộ mới - sạch sẽ - full nội thất mới - bếp riêng
Giá chỉ từ 4tr - 5trieu
Căn 5tr5 có cả ban công.
Căn 5tr- 2pn
Ngoài ra mình còn nhiều căn hộ khác giá từ 4tr - 10tr
Căn 1PN - 2PN
Quận hải châu. Sơn trà. Ngũ hành sơn. Thanh khê
Khách qt cứ alo tư vấn free nhé",35,1,1,"12, Đường Huy Du||19830, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ mini giá rẻ 191/18 đỗ quang,3500000,"Căn hộ mini đường NGuyễn văn Linh giá 4.5tr/th
Full nội thất bếp MT Đỗ Quang

-VỊ TRÍ: 191/18 Đỗ Quang. Đường 5m lề 3m. Đường đậu oto trên lề.

+Gần ĐH Duy Tân cách 3p đi bộ.
+Gần trục đường chính Nguyễn Văn Linh,bệnh viện, chợ, trường học, ngân hàng, khu vui chơi giải trí, phố ẩm thực Huỳnh Thúc Kháng.
-Tiện ích:
Full nội thất, chỉ cần sách Vali tới ở thôi:
+ Tivi, Tủ Lảnh, , Điều Hòa
+ Bếp nấu ăn, bếp từ, máy nước nóng, quạt trần.
+ Wifi, camera an ninh, cửa sổ mát mẻ, giờ giấc tự do.
+ Nhà mới xây, nội thất mới keng.
- DT: 35m2 . Giá 3.8-5tr
Lh Mr Linh",35,1,1,"Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",2020-02-18
"Căn hộ hiện đại khép kín, đầy đủ tiện nghi",5000000,"Căn hộ đầy đủ tiện nghi,sạch sẽ,khu vực trung tâm, yên tĩnh.
Gần vincom, cầu rồng, gần biển,....",22,1,1,"Đường Nguyễn Bỉnh Khiêm, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ Hiyori Garden Tower 74m² 2PN,19000000,"🌹🌹Chủ đi công tác xa.🌹🌹
Cần cho thuê Căn hộ 2 phòng ngủ Hiyori Garden Tower.!
👉👉Công năng: 2PN-2WC-1P.khách..
Giá chỉ 950$/tháng.Cho thuê Lâu dài.Căn tầng cao - view đẹp.Full nội thất..vv. Mọi thông tin chi tiết Gặp Mr Tiến.",74,None,2,"đường Võ Văn Kiệt, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",2020-02-18
CĂN HỘ 1PN MỚI CÓ BAN CÔNG GẦN VINCOM,12700000,"Dự án: CĂN HỘ CHO THUÊ TẠI ĐÀ NẴNG.
Thông tin chi tiết: NỘI THẤT ĐẸP, MỚI
CÓ BAN CÔNG
SOFA, BÀN LÀM VIỆC
CÓ MÁY GIẶT RIÊNG",55,1,1,"Đường An Nhơn 6, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",2020-02-18
Cho thuê căn hộ cạnh đường Đống Đa,3500000,"Cho thuê căn hộ cạnh đường Đống Đa
Vị trí trung tâm thuận tiện định cư lâu dài
Các dạng phòng đầy đủ 20m2 đến 35m2
Giá 3,5tr/tháng đến 5tr/tháng
Liên hệ: Mr Huy",25,1,1,"Đường Lý Tự Trọng, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",2020-02-18
Cho thuê Căn hộ mini 1pn và 2 pn,3500000,"cho thuê căn hộ mini 1pn và 2 pn đầy đủ tiện nghi tại 97 lý đạo thành, sơn trà, đà nẵng
căn 1pn 20m² giá 3,5tr tháng
căn 2pn, 1pk giá 5tr/ tháng",20,1,1,"97, Đường Lý Đạo Thành, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ dịch vụ 1-2 phòng ngủ 80m² Sơn Trà,5000000,"Chính chủ cho thuê căn hộ 1-2 phòng ngủ quận Sơn Trà.

Nhà mới xây, diện tích căn hộ 35-80m2, bao gồm toilet riêng, bếp, sân trời, phòng ăn. Nhà có phòng khách và sân thượng rất rộng.

Khu vực an ninh, tiện lợi, cách biển 500m

Nội thất đầy đủ máy lạnh, máy giặt, tủ lạnh, tivi, tủ giường mới đóng.

Tiện ích dọn vệ sinh hàng tuần, nước và Internet cáp quang miễn phí.

Liên hệ chính chủ (a Duy)",80,2,2,"12, phước trường 17, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",2020-02-18
"C/Hộ 35m2 Đường Phạm Vấn, Sơn Trà - Full Nội Thất",6000000,"Cho Thuê Căn Hộ Cao Cấp Studio 35m2 - Đường Phạm Vấn, Quận Sơn Trà - Gần Biển Phạm Văn Đồng.
- Full Nội Thất Như Hình.
- Camera an ninh 24/24
- Giờ giấc tự do
- Chỗ để xe riêng

Phù hợp cho các bạn làm việc tại Quận Hải Châu, Sơn Trà,...

Khu dân cư an ninh, dân trí cao, chỉ cho hộ gia đình thuê lâu dài, hợp đồng trên 1 năm.

Giá thuê: 6 triệu/tháng (Ưu tiên hợp đồng lâu dài, trên 12 tháng)

Xem phòng xin liên hệ trước, xin cảm ơn",35,1,1,"Đường Phạm Vấn, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",2020-02-18
"Căn hộ 5 tầng, 9phòng ngay khu phố Tây - An Thượng",50000000,"Cho thuê căn hộ ngay khu phố Tây - An Thượng 6, gần biển
- Căn hộ vừa hoàn thiện, nội thất hiện đại, máy giặt riêng cho mỗi phòng
- Cho thuê nguyên căn",70,6,9,"Đường An Thượng 6, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2020-02-18
Căn hộ Nguyễn Thiếp gần cầu Trần Thị Lý,4799000,"Cho thuê căn hộ đường Nguyễn Thiếp gần cầu Trần Thị Lý, đường Ngô Quyền, Nguyễn Văn Thoại, Quận Sơn Trà

✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️

Diện tích: 30m2 giá thuê 4,8 Triệu/tháng

👉 Giờ giấc tự do, không chung chủ.

👉 Chỗ để xe rộng, tầng trệt bên trong căn hộ

👉 Có thể chuyển đến ở ngay

👉 Camera giám sát 24/24

👉 Căn hộ có ban công, cửa sổ thoáng mát",30,1,1,"Đường Nguyễn Thiếp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ 1pn 45 m2 có ban công thoáng mát,9000000,"CHO THUÊ CĂN HỘ 1 PHÒNG NGỦ GẦN CẦU RỒNG - 9 TRIỆU
Vị Trí: Đường Trần Hưng Đao, Quận Sơn Trà Tp.Đà Nẵng ( Cách cầu Rồng 200m)
Mô tả:
- Căn hộ 1 phòng ngủ 45m2.
- Rông rãi, đầy đủ nội thất, điều hòa, máy giặt, tủ lạnh, sân thượng, ban công.
- Tòa nhà có thang máy.
- Có ban công cửa sổ thoáng mát, không có công trình xung quanh, khu dân cư An Ninh
Tiện ích:
- Gần biển Mỹ Khê. Gần Cầu Tình Yêu, cầu Rồng. Đi bộ 2 phút ra bờ sông Hàn
- Gần cầu Rồng, cầu Trần Thị Lý
- Cách Sân bay 2.5km...
- Điện: 3.5k/ chữ, nước 50k/ người. Miễn phí wf, cáp TV, dọn dẹp 1 tuần/ lần
Gíá: 9 triệu / tháng
Liên hệ/zalo: để đi xem căn hộ.
Chúng tôi còn nhiều nhà & căn hộ cho thuê ở Đà Nẵng. Anh/chị cần xin liên hệ số điện thoại 0358.291.293
Xin cảm ơn",45,None,1,"Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ full nội thất TTTP giá chỉ 5.000.000/tháng,5000000,"Căn hộ 1 phòng ngủ nằm ngay TTTP được trang bị đầy đủ nội thất ( chỉ cần vào ở ngay ) tivi, máy lạnh, bếp, tủ lạnh, máy nước nóng...
- Có cửa sổ đón ánh sáng & gió thông thoáng
- Sân phơi & máy giặt free
- Gần chợ Cồn, BigC , sân bay, trường học...
- Giờ giấc tự do, có chìa khóa riêng",20,1,1,"325/33, Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",2020-02-18
Căn hộ HAGL cho thuê ngay TTTP 2pn chỉ 10tr/tháng,10000000,Cho thuê căn hộ HAGL tại 72hàm nghi ngay TTTP.diện tích 94m2.gồm 2pn 2wc .1p.1 pb.liên hệ đi xem căn hộ trực tiếp.,94,None,2,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",2020-02-18
Căn hộ 45m2 gần đường Hồ Xuân Hương,6000000,"Căn hộ nội thất cao cấp gần biển, giá cạnh tranh chỉ 6,000,000/ tháng

Chỉ mất 5 phút ra:
- Biển
- Chợ Bắc Mỹ An
- Vinmart
- Trạm xăng
- Gym

Cho nuôi thú cưng trong phòng
Giờ giấc tự do
Có thang máy",45,1,1,"Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2020-02-18
Cho thuê căn hộ HAGL full nội thất 100%y hình,14000000,Cho thuê căn hộ HAGL căn góc với diện tích 117m2 rộng rải thoáng mát gồm 3pn.2wc .pk phòng bếp.ngay trung tâm thành phố.anh/chị quan tâm liên hệ đi xem căn hộ trực tiếp ạ,117,None,3,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",2020-02-18
Căn hộ Căn hộ F.Home 60m² 2PN Tầng 20,15000000,"CHO THUÊ CĂN HỘ FHOME
--> Tầng 20
--> 2 Phòng Ngủ + 2 WC
--> Đầy đủ nội thất ( Máy giặt, bếp, 2 máy lạnh, lò vi sóng , tủ lạnh,...)",60,2,2,"16, Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",2020-02-18
"Căn hộ 2 phòng ngủ ,đường lê văn long",9000000,"Cho thuê 3 căn hộ (hoặc cho thuê nguyên căn)
đường Lê Văn Long, Thanh Bình, Hải Châu
Giá mỗi căn hộ : 9tr/1 tháng
Thuê nguyên căn : liên hệ Hà Ly
Mỗi căn hộ gồm : pk, bếp, 2 pn, 2wc, sân phơi
Full nội thất",60,2,2,"Đường Lê văn Long, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",2020-02-18
Căn hộ full nội thất - cách đại học Duy Tân 500m,3000000,"Cho thuê căn hộ tại đường Đỗ Quang - Hàm Nghi - Đà Nẵng
Số 5/3 đường Đỗ Quang
Ngay gần bờ hồ Hàm Nghi - khu vực trung tâm thành phố cực kỳ sầm uất , an ninh tốt
Phòng rộng rãi , sạch sẽ , thoáng mát
Có máy giặt , san phơi đồ ...
Đầy đủ nội thất , bàn ghế , tủ lạnh , điều hoà ....
Cho phép nấu ăn tại phòng
Giờ giấc tự do , không chung chủ
Giá cho thuê : từ 3 triệu đến 5 triệu tuỳ phòng
Liên hệ trực tiếp chủ nhà để xem
Xin cám ơn !!!",20,None,1,"Đường Đỗ Quang, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",2020-02-18
"Căn 2 phòng ngủ Azura, view sông Hàn. Tầng thấp",27000000,"CHO THUÊ CĂN HỘ CAO CẤP AZURA, 2 PHÒNG NGỦ
Căn hộ được trang bị đầy đủ thiết bị nội thất và đồ dùng điện tử, điện lạnh, đồ dùng bếp, wifi, truyền hình cáp (khách chỉ mang quần áo vào ở ngay).
Nội thất mới, hiện đại, cao cấp, có thiết bị an ninh, báo cháy, hệ thống điện dự phòng, dịch vụ chuyên nghiệp, đảm bảo tiện ích cao cho người Việt và người nước ngoài sinh sống và làm việc.
-Diện tích: 100m2, gồm 1 phòng khách, 2 phòng ngủ, 1 phòng bếp, 2 toilet và ban công, view Sông Hàn thơ mộng.
- Phí thuê:/ tháng đã bao gồm phí Quản lý và sử dụng tiện ích
LH:",100,2,2,"339, 339 Đường Trần Hưng Đạo Quận Sơn Trà, Đà Nẵng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn hộ full nội thất Ông Ích Khiêm HẢI CHÂU,4500000,"Cho thuê căn hộ mini trong nhà nguyên căn ko chung chủ tự do. Ngay Ông Ích Khiêm
📍Địa chỉ: 24 Thanh Hải, quận Hải Châu, TP Đà Nẵng.
⛔ Phòng được trang bị đầy đủ, tất cả đều là vật dụng mới 100%
⛔Wifi free, Máy giặt free, Bếp điện free
❤ Khu vực an ninh tuyệt đối, có camera 24/24.",25,1,1,"24, Đường Thanh Hải, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",2020-02-18
Căn Hộ Duplex Đầu Tư Năm 2020,4000000,"+Vị trí đắc địa ngay TTTP, thuận tiện di chuyển đến các khu tiện ích xung quanh như Chợ, siêu thị, nhà ga, sân bay, trường học, bệnh viện, biển...

+Đầy đủ tiện nghi nội khu: hồ bơi, gym, coffee-bar, hầm giữ xe, thang máy, hệ thống pccc, camera an ninh, bảo vệ 24/24
Có sẵn đầy đủ nội thất phục vụ mọi nhu cầu sinh hoạt.

+Giá thuê chỉ 4tr/ tháng cho căn 1 pn.

+Nhận thuê lại căn hộ giá tối thiểu 150% giá trị ban đầu.
Đặc biệt: có thể thu lợi nhuận 30%/năm với hình thức đầu tư (có điều kiện)

+Thanh toán nhẹ nhàng từ 45-60 ngày/ đợt.

++++++Đặc biệt chính sách tặng vàng cho khách hàng ký hợp đồng thuê căn hộ đầu năm 2020.

+Hotline nhận tư vấn 24/7",37,None,1,"Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",2020-02-18
Căn góc HAGL cho thuê 3pn y hình.mới 100%,14000000,Cho thuê căn hộ HAGL full nội thất.ngay trung tâm thành phố.3phòng ngủ với diện tích 117m2.liên hệ đi xem căn hộ trực tiếp,117,None,3,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",2020-02-18
